run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H01_service_status_routing,False,wrong_tool,,check_service_status,check_service_status,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H02_device_routing,False,wrong_tool,,inspect_device,inspect_device,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H03_kb_routing,False,wrong_tool,extra_tool_call,search_kb,search_kb|search_kb,False,False,False,extra tool call search_kb
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H04_user_routing,False,wrong_tool,,lookup_user,lookup_user,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H05_device_check_arg,False,wrong_arg_value,,inspect_device,inspect_device,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H06_environment_arg,False,wrong_arg_value,,check_service_status,check_service_status,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H07_format_report,False,wrong_arg_value,extra_tool_call,format_incident_report,check_service_status|format_incident_report,False,False,False,extra tool call check_service_status
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,clarify,False,False,False,expected no tool call
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H09_meta_no_tool,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H10_missing_asset,False,missing_info,,clarify,clarify,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H11_missing_employee,False,missing_info,,clarify,clarify,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H12_confirm_before_ticket,False,wrong_boundary,missing_tool_call,clarify,inspect_device|check_service_status,False,False,False,missing tool call clarify; extra tool call inspect_device; extra tool call check_service_status
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H13_parallel_status_and_device,False,wrong_tool,wrong_arg_value,check_service_status|inspect_device,check_service_status|inspect_device,False,True,False,"check: expected 'vpn', got 'all'"
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,H14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,M01_clarify_then_asset,True,missing_info,,inspect_device,inspect_device,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,M02_carry_environment,True,wrong_arg_value,,check_service_status,check_service_status,True,True,True,
v0_B_base_openai_20260914T194529896630,v0,v0+p233ec2cecfdf+teb3e2243f237,base,M03_correct_asset,True,wrong_arg_value,,inspect_device,inspect_device,True,True,True,
